#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,ReH,ReE,ReHTilde,dvcs
1,0,5.75,1.82,0.343,-0.172,7.5,0.119189,0.00595945,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,1,5.75,1.82,0.343,-0.172,22.5,0.1171,0.005855,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,2,5.75,1.82,0.343,-0.172,37.5,0.10397,0.00519848,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,3,5.75,1.82,0.343,-0.172,52.5,0.0984344,0.00492172,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,4,5.75,1.82,0.343,-0.172,67.5,0.0849521,0.0042476,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,5,5.75,1.82,0.343,-0.172,82.5,0.0801959,0.00400979,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,6,5.75,1.82,0.343,-0.172,97.5,0.0689282,0.00344641,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,7,5.75,1.82,0.343,-0.172,112.5,0.0544698,0.00272349,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,8,5.75,1.82,0.343,-0.172,127.5,0.0560501,0.0028025,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,9,5.75,1.82,0.343,-0.172,142.5,0.0526203,0.00263102,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,10,5.75,1.82,0.343,-0.172,157.5,0.0412844,0.00206422,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,11,5.75,1.82,0.343,-0.172,172.5,0.0450809,0.00225404,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,12,5.75,1.82,0.343,-0.172,187.5,0.0487713,0.00243857,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,13,5.75,1.82,0.343,-0.172,202.5,0.0539234,0.00269617,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,14,5.75,1.82,0.343,-0.172,217.5,0.0491313,0.00245656,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,15,5.75,1.82,0.343,-0.172,232.5,0.0509833,0.00254917,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,16,5.75,1.82,0.343,-0.172,247.5,0.0584443,0.00292222,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,17,5.75,1.82,0.343,-0.172,262.5,0.0689404,0.00344702,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,18,5.75,1.82,0.343,-0.172,277.5,0.0671134,0.00335567,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,19,5.75,1.82,0.343,-0.172,292.5,0.0832146,0.00416073,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,20,5.75,1.82,0.343,-0.172,307.5,0.0964107,0.00482054,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,21,5.75,1.82,0.343,-0.172,322.5,0.105325,0.00526627,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,22,5.75,1.82,0.343,-0.172,337.5,0.121374,0.00606872,0.05,-0.59101,-0.37394,-0.53778,0.01958
1,23,5.75,1.82,0.343,-0.172,352.5,0.118542,0.00592712,0.05,-0.59101,-0.37394,-0.53778,0.01958
