1.51,5.33
4.94,5.33
8.38,5.33
11.81,5.32
15.24,5.32
18.67,5.32
22.10,5.31
25.53,5.30
28.96,5.29
32.39,5.29
35.83,5.28
39.26,5.27
42.69,5.26
46.12,5.24
49.55,5.23
52.98,5.22
56.41,5.21
59.84,5.19
63.27,5.18
66.70,5.16
70.13,5.15
73.57,5.13
77.00,5.11
80.43,5.10
83.86,5.08
87.29,5.07
90.72,5.05
94.15,5.03
97.58,5.02
101.01,5.00
104.44,4.99
107.87,4.97
111.30,4.95
114.73,4.94
118.17,4.93
121.60,4.91
125.03,4.90
128.46,4.89
131.89,4.87
135.32,4.86
138.75,4.85
142.18,4.84
145.61,4.83
149.04,4.83
152.48,4.82
155.91,4.81
159.34,4.81
162.77,4.80
166.20,4.80
169.63,4.80
173.06,4.79
176.49,4.79
179.93,4.79
183.36,4.80
186.79,4.80
190.22,4.80
193.65,4.81
197.08,4.81
200.52,4.82
203.95,4.83
207.38,4.83
210.81,4.84
214.24,4.85
217.67,4.86
221.11,4.87
224.54,4.89
227.97,4.90
231.40,4.91
234.83,4.93
238.27,4.94
241.70,4.96
245.13,4.97
248.56,4.99
251.99,5.00
255.43,5.02
258.86,5.03
262.29,5.05
265.72,5.07
269.15,5.08
272.59,5.10
276.02,5.12
279.45,5.13
282.88,5.15
286.31,5.16
289.75,5.18
293.18,5.19
296.61,5.21
300.04,5.22
303.47,5.23
306.91,5.24
310.34,5.26
313.77,5.27
317.20,5.28
320.63,5.29
324.07,5.30
327.50,5.30
330.93,5.31
334.36,5.32
337.79,5.32
341.22,5.33
344.66,5.33
348.09,5.33
351.36,5.33
