0.54, 4.32
0.49, 4.30
1.12, 4.33
1.11, 4.32
1.11, 4.30
1.74, 4.33
1.74, 4.32
1.74, 4.30
2.36, 4.33
2.36, 4.32
2.36, 4.30
2.99, 4.33
2.98, 4.32
2.98, 4.30
3.61, 4.33
3.61, 4.32
3.61, 4.30
4.23, 4.33
4.23, 4.32
4.23, 4.30
4.86, 4.33
4.85, 4.32
4.85, 4.30
5.48, 4.33
5.48, 4.32
5.48, 4.30
6.10, 4.33
6.10, 4.32
6.10, 4.30
6.73, 4.32
6.72, 4.31
6.72, 4.30
7.35, 4.32
7.35, 4.31
7.35, 4.30
7.97, 4.32
7.97, 4.31
7.97, 4.30
8.60, 4.32
8.59, 4.31
8.59, 4.30
9.22, 4.32
9.22, 4.31
9.22, 4.30
9.84, 4.32
9.84, 4.31
9.84, 4.30
10.47, 4.32
10.47, 4.31
10.46, 4.30
11.09, 4.32
11.09, 4.31
11.09, 4.30
11.71, 4.32
11.71, 4.31
11.71, 4.30
12.34, 4.32
12.34, 4.31
12.33, 4.30
12.96, 4.32
12.96, 4.31
12.96, 4.30
13.58, 4.32
13.58, 4.31
13.58, 4.30
14.21, 4.32
14.21, 4.31
14.21, 4.30
14.83, 4.32
14.83, 4.31
14.83, 4.29
15.45, 4.32
15.45, 4.30
15.45, 4.29
16.08, 4.32
16.08, 4.30
16.07, 4.29
16.70, 4.32
16.70, 4.30
16.70, 4.29
17.32, 4.32
17.32, 4.30
17.32, 4.29
17.95, 4.32
17.95, 4.30
17.95, 4.29
18.57, 4.32
18.57, 4.30
18.57, 4.29
19.19, 4.32
19.19, 4.30
19.19, 4.29
19.82, 4.32
19.82, 4.30
19.82, 4.29
20.44, 4.32
20.44, 4.30
20.44, 4.29
21.06, 4.31
21.06, 4.29
21.06, 4.28
21.69, 4.31
21.69, 4.29
21.69, 4.28
22.31, 4.31
22.31, 4.29
22.31, 4.28
22.93, 4.31
22.93, 4.29
22.93, 4.28
23.56, 4.31
23.56, 4.29
23.56, 4.28
24.18, 4.31
24.18, 4.29
24.18, 4.28
24.81, 4.31
24.80, 4.29
24.80, 4.28
25.43, 4.30
25.43, 4.28
25.43, 4.27
26.05, 4.30
26.05, 4.28
26.05, 4.27
26.67, 4.30
26.67, 4.28
26.67, 4.27
27.30, 4.30
27.30, 4.28
27.30, 4.27
27.92, 4.30
27.92, 4.28
27.92, 4.27
28.55, 4.30
28.54, 4.28
28.54, 4.27
29.17, 4.29
29.17, 4.28
29.17, 4.26
29.79, 4.29
29.79, 4.28
29.79, 4.26
30.41, 4.29
30.41, 4.28
30.41, 4.26
31.04, 4.29
31.04, 4.28
31.04, 4.26
31.66, 4.29
31.66, 4.28
31.66, 4.26
32.29, 4.29
32.28, 4.27
32.28, 4.26
32.91, 4.28
32.91, 4.27
32.91, 4.25
33.53, 4.28
33.53, 4.27
33.53, 4.25
